"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-24",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-25",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-26",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-28","58","48","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-29","57","47","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-30","57","37","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-05-31","58","38","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-01","58","38","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-02","58","37","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-03","58","37","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-04","58","37","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-05",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-06","59","37","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-07","55","51","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-08","56","50","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-09",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-10","58","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-11","60","50","59"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-12",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-13",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-14",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-15",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-16","62","50","60"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-17","62","50","61"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-18","62","50","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-19","62","50","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-20","62","50","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-21","61","51","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-22",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-23",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-24","61","51","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-25","63","54","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-26","63","54","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-27",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-28",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-29",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-06-30",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-01",,,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-02","63","52","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-03","63","52","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2021-07-04","61","53","55"
